,lat,lon,danger,effect,school_zone
4736,37.14876093424389,127.0780965666262,4.540502262064375,4.68658059326712,False
50,37.14875217476315,127.0761995555575,4.17288692251296,4.307138228372085,False
811,37.15886635401628,127.08353429085906,4.128997399067882,4.2618366786858335,False
5351,37.175107233094934,127.05046048655169,4.08777538265001,4.219288455822158,False
0,37.149280591106155,127.06150917316641,4.024751171093667,4.154236611392149,False
5202,37.19016980997418,127.04334741302013,3.976824424382508,4.104767951743728,False
948,37.15698873576096,127.0608957893865,3.920230412353656,4.046353181050727,False
2859,37.15584080088652,127.05234699575277,3.9151292759121614,4.041087929395627,False
394,37.136966137949145,127.07823069086159,3.8616988654897053,3.985938540600404,False
1320,37.147891416486246,127.07447725929757,3.8362276421038373,3.95964784976553,False
1768,37.135864499858364,127.07822715249344,3.7901131906311374,3.9120497910338394,False
850,37.12821879902202,127.06869683782726,3.7341156566283544,3.854250688427746,False
286,37.14401628928741,127.0717847480982,3.7003551027555917,3.819403980406043,False
4596,37.14455842401759,127.06850774344456,3.6825379251272166,3.801013583467452,False
1346,37.14678295800049,127.07620198373544,3.668220981382555,3.786236030933402,False
2236,37.14760702406564,127.06655818436757,3.5967378936220267,3.712453168926196,False
2911,37.13084860086797,127.08818491564337,3.54419411332386,3.6582189351719947,False
1386,37.13958791255275,127.0782483530553,3.517863462225245,3.631041166871368,False
4692,37.14775698697135,127.07797416806594,3.5071368703624097,3.6199694760418595,False
2052,37.14120987166728,127.06867713120705,3.5038617627494153,3.6165890007344994,False
