,lat,lon,danger,effect,school_zone
3026,37.13260250391609,127.06908975887396,4.941130129323711,5.100097574308321,True
7045,37.18641879239704,127.04121132597412,4.603429550982234,4.751532396835932,True
2116,37.13088399379635,127.06948309000369,4.5573120348538,4.703931174851531,True
531,37.15441431041689,127.07749048255772,4.484720154163356,4.6290038475126565,True
2051,37.13781260680583,127.07334191828741,4.423875860073118,4.5662020534739725,True
519,37.15347007736097,127.07587057888344,4.37170595627229,4.512353724678204,True
4012,37.135631964957646,127.06896136009182,4.361334637637368,4.501648737028024,True
2119,37.131379924656144,127.06832614992665,4.3524824553751635,4.492511759838357,True
1991,37.14133601968405,127.0762980310966,4.310243357777057,4.44891373396921,True
5301,37.17641444763073,127.04539941922026,4.266302824224479,4.403559533063762,True
2005,37.14141408284976,127.0734700375413,4.259652425567119,4.3966951758878,True
1832,37.14566458729085,127.04920688438156,4.228244398406418,4.364276680737172,True
5352,37.17411716479789,127.0506841980871,4.225241774150636,4.361177455199153,True
5,37.15483885046748,127.0683494614262,4.130797488771827,4.263694681388119,True
576,37.15619186205935,127.07687168875442,4.12208315653877,4.254699989177976,True
1841,37.14363233138851,127.04925938680306,4.1191817126000805,4.251705199159012,True
2673,37.14658830246018,127.07442987711259,4.111028033383884,4.243289197454175,True
3291,37.13900405510819,127.07331085361595,4.103357282675112,4.235371661170165,True
7123,37.17115220319352,127.06571039760559,4.0970387290852,4.228849825275619,True
212,37.15077933794557,127.06855385362795,4.084764228278277,4.21618042573487,True
