level5.5_linkID,ITS_linkID,road_rank,road_length,road_name,sido_code,sigungu_code,emd_code,sido_name,sigungu_name,emd_name,week_type,velocity_AVRG
1079787,2140611600,107,1.129,엘지로,31,31140,3114052,경기도,오산시,대원동,weekend,37.08
1079788,2230000841,106,0.506,남부대로,31,31140,3114052,경기도,오산시,대원동,weekend,33.73
1079789,2230069301,107,0.93,동부대로,31,31140,3114052,경기도,오산시,대원동,weekend,39.42
1079790,2140188000,107,0.17,동부대로,31,31140,3114052,경기도,오산시,대원동,weekend,31.68
1079791,2140609700,107,1.129,엘지로,31,31140,3114052,경기도,오산시,대원동,weekend,36.87
1079793,2140188100,107,0.17,동부대로,31,31140,3114052,경기도,오산시,대원동,weekend,31.17
1079794,2230117200,107,0.93,동부대로,31,31140,3114052,경기도,오산시,대원동,weekend,36.02
1079795,2230000751,106,0.506,남부대로,31,31140,3114052,경기도,오산시,대원동,weekend,30.46
1079796,2230000831,106,0.531,남부대로,31,31140,3114052,경기도,오산시,대원동,weekend,29.4
1080167,2230189000,107,0.529,문시로,31,31140,3114055,경기도,오산시,세마동,weekend,34.26
1080235,2230189100,107,0.529,문시로,31,31140,3114055,경기도,오산시,세마동,weekend,32.61
1080236,2230162000,107,0.466,문시로,31,31140,3114055,경기도,오산시,세마동,weekend,50.97
1080362,2230024700,107,0.267,운암로,31,31140,3114052,경기도,오산시,대원동,weekend,23.57
1080363,2230027600,107,0.269,운천로,31,31140,3114052,경기도,오산시,대원동,weekend,22.64
1080364,2230025100,107,0.269,운천로,31,31140,3114052,경기도,오산시,대원동,weekend,18.79
1080365,2230005603,107,0.436,성호대로,31,31140,3114053,경기도,오산시,남촌동,weekend,27.47
1080367,2230024200,107,0.171,대원로,31,31140,3114052,경기도,오산시,대원동,weekend,17.42
1080368,2230024900,107,0.076,대원로,31,31140,3114052,경기도,오산시,대원동,weekend,23.52
1080370,2230069100,107,0.088,동부대로,31,31140,3114052,경기도,오산시,대원동,weekend,48.91
1080371,2230024600,107,0.158,대원로,31,31140,3114052,경기도,오산시,대원동,weekend,22.52
1080372,2230024100,107,0.171,대원로,31,31140,3114052,경기도,오산시,대원동,weekend,20.37
1080373,2230004703,103,0.403,경기대로,31,31140,3114052,경기도,오산시,대원동,weekend,29.54
1080374,2230005200,103,0.27,경기대로,31,31140,3114052,경기도,오산시,대원동,weekend,23.13
1080375,2230024500,107,0.158,대원로,31,31140,3114052,경기도,오산시,대원동,weekend,30.6
1080376,2230025000,107,0.076,대원로,31,31140,3114052,경기도,오산시,대원동,weekend,20.92
1080379,2230028100,107,0.156,성호대로,31,31140,3114051,경기도,오산시,중앙동,weekend,21.74
1080380,2230028600,107,0.076,성호대로,31,31140,3114051,경기도,오산시,중앙동,weekend,18.9
1080381,2230027000,107,0.267,운암로,31,31140,3114052,경기도,오산시,대원동,weekend,24.85
1080382,2230028200,107,0.156,성호대로,31,31140,3114051,경기도,오산시,중앙동,weekend,16.95
1080383,2230005100,103,0.27,경기대로,31,31140,3114052,경기도,오산시,대원동,weekend,29.17
1080384,2230028500,107,0.076,성호대로,31,31140,3114052,경기도,오산시,대원동,weekend,26.45
1080385,2230005700,105,0.197,성호대로,31,31140,3114053,경기도,오산시,남촌동,weekend,22.24
1080386,2230032100,105,0.755,오산천로,31,31140,3114053,경기도,오산시,남촌동,weekend,30.32
1080387,2230006701,105,0.634,경기동로,31,31140,3114051,경기도,오산시,중앙동,weekend,31.12
1080388,2230025600,107,0.732,오산로,31,31140,3114052,경기도,오산시,대원동,weekend,18.49
1080389,2230073500,107,0.713,오산로,31,31140,3114052,경기도,오산시,대원동,weekend,32.41
1080390,2230073800,106,0.656,남부대로,31,31140,3114053,경기도,오산시,남촌동,weekend,57.85
1080391,2230073300,106,0.356,남부대로,31,31140,3114052,경기도,오산시,대원동,weekend,17.5
1080392,2230026300,107,0.436,성호대로,31,31140,3114053,경기도,오산시,남촌동,weekend,35.21
1080393,2230017400,107,0.713,오산로,31,31140,3114052,경기도,오산시,대원동,weekend,34.66
1080394,2230017700,107,0.732,오산로,31,31140,3114052,경기도,오산시,대원동,weekend,21.67
1080395,2230017600,107,0.429,원동로,31,31140,3114052,경기도,오산시,대원동,weekend,27.83
1080396,2230017500,107,0.429,원동로,31,31140,3114052,경기도,오산시,대원동,weekend,25.34
1080397,2230026200,107,1.678,오산천로,31,31140,3114053,경기도,오산시,남촌동,weekend,43.26
1080398,0,107,1.678,오산천로,31,31140,3114053,경기도,오산시,남촌동,weekend,32.88
1080399,2230074300,106,0.656,남부대로,31,31140,3114053,경기도,오산시,남촌동,weekend,43.91
1080400,2230074400,106,0.692,남부대로,31,31140,3114056,경기도,오산시,초평동,weekend,63.11
1080401,2230040400,107,0.506,수목원로,31,31140,3114053,경기도,오산시,남촌동,weekend,33.39
1080402,2230040300,107,0.506,수목원로,31,31140,3114053,경기도,오산시,남촌동,weekend,29.44
1080403,2230006504,106,0.747,가장로,31,31140,3114056,경기도,오산시,초평동,weekend,49.58
1080404,0,107,0.484,대호로,31,31140,3114053,경기도,오산시,남촌동,weekend,23.65
1080405,2230006601,106,0.403,가장로,31,31140,3114053,경기도,오산시,남촌동,weekend,31.91
1080406,2230043700,107,0.131,궐리사로,31,31140,3114053,경기도,오산시,남촌동,weekend,15.09
1080410,2230042600,107,0.509,궐리사로,31,31140,3114053,경기도,오산시,남촌동,weekend,21.49
1080411,2230041000,107,0.44,법원로,31,31140,3114053,경기도,오산시,남촌동,weekend,24.51
1080412,2230032700,107,0.268,법원로,31,31140,3114053,경기도,오산시,남촌동,weekend,19.51
1080413,2230042900,107,0.456,궐리사로,31,31140,3114053,경기도,오산시,남촌동,weekend,26.6
1080414,2230043800,107,0.131,궐리사로,31,31140,3114053,경기도,오산시,남촌동,weekend,24.67
1080418,2230042800,107,0.456,궐리사로,31,31140,3114053,경기도,오산시,남촌동,weekend,25.94
1080419,2230042500,107,0.509,궐리사로,31,31140,3114053,경기도,오산시,남촌동,weekend,28.3
1080420,2230042400,107,1.032,청학로,31,31140,3114053,경기도,오산시,남촌동,weekend,29.45
1080421,2230032600,107,0.484,대호로,31,31140,3114053,경기도,오산시,남촌동,weekend,26.57
1080422,2230032800,107,0.268,법원로,31,31140,3114053,경기도,오산시,남촌동,weekend,31.48
1080423,2230040500,107,0.44,법원로,31,31140,3114053,경기도,오산시,남촌동,weekend,23.52
1080424,2230006503,106,0.305,가장로,31,31140,3114053,경기도,오산시,남촌동,weekend,51.05
1080425,2230018802,107,0.635,누읍로,31,31140,3114056,경기도,오산시,초평동,weekend,26.73
1080426,2230018900,107,0.635,누읍로,31,31140,3114056,경기도,오산시,초평동,weekend,32.99
1080427,2230075802,105,0.869,수목원로,31,31140,3114056,경기도,오산시,초평동,weekend,45.72
1080428,2230018500,105,0.462,수목원로,31,31140,3114056,경기도,오산시,초평동,weekend,35.83
1080429,2230004507,105,0.71,초평로,31,31140,3114056,경기도,오산시,초평동,weekend,35.45
1080430,2230004608,105,0.879,초평로,31,31140,3114056,경기도,오산시,초평동,weekend,29.74
1080431,2230187300,107,0.447,오산대역로,31,31140,3114054,경기도,오산시,신장동,weekend,39.87
