,link_id,week_type,velocity_CG_AVRG
238,571242908,weekend,51.87
239,571242908,weekend,50.0
240,571242924,weekend,14.44
241,571242924,weekend,10.99
242,571242925,weekend,19.62
243,571242925,weekend,18.95
244,571242927,weekend,10.99
245,571242927,weekend,14.44
246,571242928,weekend,10.99
247,571242928,weekend,14.44
248,571242953,weekend,13.24
249,571242968,weekend,13.27
250,571242968,weekend,13.72
251,571242969,weekend,13.72
252,571242969,weekend,13.27
255,571243067,weekend,37.05
256,571243067,weekend,33.04
257,571243086,weekend,14.58
258,571243086,weekend,16.87
259,571243109,weekend,20.21
260,571243109,weekend,25.23
261,571243110,weekend,15.48
262,571243110,weekend,16.5
263,571243113,weekend,16.5
264,571243113,weekend,15.48
265,571243114,weekend,15.48
266,571243114,weekend,16.5
267,571243116,weekend,30.42
268,571243116,weekend,29.11
270,571243250,weekend,19.08
271,571243250,weekend,15.76
272,571243298,weekend,15.75
273,571243298,weekend,18.48
274,571243317,weekend,30.31
275,571243317,weekend,30.08
276,571243375,weekend,12.9
277,571243375,weekend,14.35
278,571243382,weekend,14.29
279,571243382,weekend,8.57
280,571243446,weekend,18.95
281,571243446,weekend,19.62
282,571243447,weekend,18.95
283,571243447,weekend,19.62
284,571243461,weekend,13.0
285,571243461,weekend,12.94
288,571243601,weekend,16.5
289,571243601,weekend,15.48
290,571243602,weekend,15.48
291,571243602,weekend,16.5
294,571243638,weekend,39.09
295,571243638,weekend,45.37
296,571243641,weekend,25.23
297,571243641,weekend,20.21
298,571243642,weekend,20.21
299,571243642,weekend,25.23
300,571243650,weekend,31.43
301,571243650,weekend,30.09
302,571243677,weekend,40.61
303,571243677,weekend,42.47
304,571243769,weekend,31.43
305,571243769,weekend,30.09
306,571243774,weekend,41.27
307,571243774,weekend,43.84
309,571243800,weekend,31.43
310,571243800,weekend,30.09
311,571243801,weekend,30.09
312,571243801,weekend,31.43
313,571243822,weekend,39.85
314,571243822,weekend,32.13
315,571243825,weekend,15.41
316,571243825,weekend,13.42
317,571243884,weekend,20.22
318,571243884,weekend,14.69
319,571243886,weekend,19.08
320,571243886,weekend,15.76
322,571244146,weekend,17.49
323,571244151,weekend,18.95
324,571244151,weekend,19.62
325,571244162,weekend,19.62
326,571244162,weekend,18.95
327,571244165,weekend,39.85
328,571244165,weekend,32.13
329,571244166,weekend,32.13
330,571244166,weekend,39.85
331,571244168,weekend,19.62
332,571244168,weekend,18.95
333,571244184,weekend,39.09
334,571244184,weekend,45.37
335,571244185,weekend,45.37
336,571244185,weekend,39.09
337,571244201,weekend,33.04
338,571244201,weekend,37.05
339,571244203,weekend,37.05
340,571244203,weekend,33.04
341,571244204,weekend,33.04
342,571244204,weekend,37.05
345,571244341,weekend,32.13
346,571244341,weekend,39.85
347,571244345,weekend,15.41
348,571244345,weekend,13.42
349,571244366,weekend,39.85
350,571244366,weekend,32.13
351,571244378,weekend,12.53
352,571244378,weekend,15.12
353,571244622,weekend,13.64
354,571244622,weekend,14.99
355,571244630,weekend,30.42
356,571244630,weekend,29.11
357,571244631,weekend,33.14
358,571244631,weekend,30.7
359,571244637,weekend,13.64
360,571244637,weekend,14.99
361,571244641,weekend,15.12
362,571244641,weekend,12.53
363,571244723,weekend,16.87
364,571244723,weekend,14.58
365,571244724,weekend,14.58
366,571244724,weekend,16.87
367,571244812,weekend,19.95
368,571244812,weekend,18.2
370,571244931,weekend,12.94
371,571244931,weekend,13.0
372,571244954,weekend,13.0
373,571244954,weekend,12.94
374,571245056,weekend,32.13
375,571245056,weekend,39.85
376,571245109,weekend,15.41
377,571245109,weekend,13.42
378,571245166,weekend,42.47
379,571245166,weekend,40.61
380,571245204,weekend,50.0
381,571245204,weekend,51.87
382,571245214,weekend,45.37
383,571245214,weekend,39.09
386,571245388,weekend,29.11
387,571245388,weekend,30.42
388,571245396,weekend,12.49
389,571245396,weekend,17.68
390,571245397,weekend,17.68
391,571245397,weekend,12.49
392,571245402,weekend,13.64
393,571245402,weekend,14.99
394,571245475,weekend,14.58
395,571245475,weekend,16.87
396,571245497,weekend,51.75
397,571245497,weekend,50.33
398,571245498,weekend,50.33
399,571245498,weekend,51.75
400,571245683,weekend,18.48
401,571245683,weekend,15.75
402,571245685,weekend,15.75
403,571245685,weekend,18.48
